,hotel_name,Class of Rating,Rating
0,Times Square Lux Highrise,Good,7.8
1,Beautiful apartment next to Central Park,Good,7.6
2,Spacious Apartment in Prime Location,Good,7.7
3,Midtown East Spacious Apartment,Good,7.1
4,Heart of Midtown,None,None
5,Nice Apartment in the Heart of Upper East Side,Very Good,8.5
6,John Street Apartment,None,None
7,East Village Apartments,Awesome,9.4
8,Sanctuary NYC Retreats,Excellent,8.7
9,The Allen Hotel,Excellent,8.7
10,Midtown West 2 Bedroom Apartment,Excellent,8.6
11,Tribeca Lofts,Good,7.7
12,Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,Excellent,8.9
13,Sunny & Luxurious West Village Residence - 3 Bedrooms!,None,None
14,Chalsea Studio,Awesome,9.3
15,6th Ave Apartment,Good,7.5
16,Luxury Two Bedroom Apartment - Midtown West J,None,None
17,2 Bedroom Apartment in Manhattan,None,None
18,Home In The Heart Of East Village,Good,7.1
19,Jun New York Mid Town II,Awesome,9.4
20,Residence Inn by Marriott New York Manhattan/Times Square,Very Good,8.2
21,Four Points by Sheraton Manhattan Chelsea,Very Good,8.2
22,Aloft Manhattan Downtown - Financial District,Very Good,8.2
23,Apartments Upper West Side,None,None
24,Hilton Garden Inn New York Times Square South,Excellent,8.7
25,Manhattan NYC,None,None
26,Luxury Two Bedroom Apartment - Midtown West G,Excellent,8.6
27,Gramercy Townhouse,None,None
28,Global Luxury Suites at Ritz Plaza,None,None
29,AKA United Nations,Awesome,9.3
30,Manhattan NYC,None,None
31,Wingate by Wyndham Manhattan Midtown,Good,7.6
32,Luxury Two Bedroom Apartment - Midtown West G,Excellent,8.6
33,Gramercy Townhouse,None,None
34,Global Luxury Suites at Ritz Plaza,None,None
35,AKA United Nations,Awesome,9.3
36,World Center Hotel,Excellent,8.6
37,Four Points by Sheraton New York Downtown,Very Good,8.1
38,Global Luxury Suites at The Pearl,None,None
39,Radio City Apartments,Very Good,8.5
40,Hamilton Heights Lovely Apartments,Good,7.6
41,Central Park N Residence,Awesome,9.4
42,Leon Hotel,Very Good,8.4
43,EVEN Hotel New York Times Square South,Awesome,9.0
44,Best Western Premier Herald Square,Very Good,8.5
45,AKA Sutton Place,Awesome,9.3
46,Cachet Boutique Hotel NYC,Very Good,8.0
47,The Dominick Hotel,Very Good,8.5
48,"Hampton Inn Manhattan-SoHo, NY",Good,7.9
49,Broadway Plaza Hotel,Very Good,8.4
50,Four-Bedroom Chelsea Apartment,None,None
51,"Hotel Shocard, New York",Very Good,8.3
52,Hyatt Place New York/Midtown-South,Excellent,8.6
53,The Iroquois New York,Excellent,8.9
54,Home NYC,Exceptional,9.6
55,Warwick New York,Very Good,8.5
56,Hotel 50 Bowery,Awesome,9.2
57,Mondrian Park Avenue,Excellent,8.9
58,Eli place Room C,None,None
59,Trump International New York,Excellent,8.8
60,AKA Central Park,Excellent,8.6
61,Hotel Wales,Very Good,8.1
62,Home Away From Home,Good,7.9
63,Amazing Apartment- Walking Distance to Times SQ,Very Good,8.3
64,Oakwood at the Nash,Excellent,8.7
65,Splendid Apartment by Times SQ,Very Good,8.2
66,TownePlace Suites by Marriott New York Manhattan/Times Square,None,None
67,The Time New York,Very Good,8.3
68,AKA Times Square,Excellent,8.8
69,Archer Hotel New York,Awesome,9.0
70,Oakwood at 830 8th Ave,None,None
71,The Coltrane,None,None
72,Hotel on Rivington,Very Good,8.4
73,Hotel 32 32,Very Good,8.0
74,Chelsea Duplex Apartment,None,None
75,Oakwood Aurora Midtown East,None,None
76,FiDi 3bed/2baths,None,None
77,Fantastic 2 Bedroom Apartment in Times Square,None,None
78,citizenM New York Times Square,Awesome,9.2
79,Lombardy Hotel,Very Good,8.5
80,Manhattan Brownstone,None,None
81,Your Home in Harlem,Excellent,8.8
82,Midtown East Deluxe 2 Bedroom Apartment,Good,7.5
83,Luxury Studio Apartment - Midtown West B,Very Good,8.3
84,LUMA Hotel - Times Square,Awesome,9.2
85,Luxury Suites in Murray Hill,None,None
86,citizenM New York Bowery,None,None
87,Midtown Lodging,Very Good,8.3
88,Charming 2 Bedroom in the heart of Midtown East,None,None
89,Pod 39,Very Good,8.2
90,The Assemblage John Street,None,None
91,Cozy Studio located in Midtown East,None,None
92,"The Lexington New York City, Autograph Collection",Very Good,8.1
93,3/2 Central Park #4,None,None
94,Bentley Hotel,Good,7.7
95,Midtown 4 Bedroom Residence 2,None,None
96,Modern Three Bedroom Apartment - Upper East Side,Good,7.9
97,Soho Penthouse,None,None
98,Little Italy Penthouse,Excellent,8.8
99,Studios Midtown Manhattan,Very Good,8.4
100,The French Quarters,Awesome,9.2
101,Newly Renovated Three Bedroom Lower East Side,Very Good,8.2
102,One Bedroom Apartment - Two Columbus Place,Good,7.3
103,Times Square Studio 46,Very Good,8.5
104,Quaint one bedroom close to the UN,None,None
105,Midtown 4 Bedroom Residence 2,None,None
106,Modern Three Bedroom Apartment - Upper East Side,Good,7.9
107,Soho Penthouse,None,None
108,Little Italy Penthouse,Excellent,8.8
109,Studios Midtown Manhattan,Very Good,8.4
110,The French Quarters,Awesome,9.2
111,Newly Renovated Three Bedroom Lower East Side,Very Good,8.2
112,One Bedroom Apartment - Two Columbus Place,Good,7.3
113,Times Square Studio 46,Very Good,8.5
114,Quaint one bedroom close to the UN,None,None
115,Central Two Bedroom Apartment In Times Square,Review score,6.1
116,Murray Hill East Suites,Very Good,8.4
117,The Manhattan at Times Square,Good,7.0
118,The Gatsby Hotel,None,None
119,Cassa Hotel 45th Street New York,Excellent,8.7
120,Garden House with 2 Bedroom,Excellent,8.6
121,Broadway at Times Square Hotel,Very Good,8.4
122,Four Points by Sheraton Manhattan Midtown West,Very Good,8.5
123,RIFF Downtown,Good,7.7
124,2 Bedroom Apartment in Hell's Kitchen,None,None
125,1 Hotel Central Park,Awesome,9.0
126,Full Studio in Central New York,Excellent,8.6
127,8th Avenue Apartment Apt C,None,None
128,Studio Plus - Cozy Apartments,Review score,6.9
129,Sensational 3 Bedroom Apartment with direct park views,None,None
130,Sutton Court Hotel Residences,None,None
131,3 BEDROOM 1 BATHROOM TIMES SQUARE D,Very Good,8.2
132,The Hotel at Times Square,Very Good,8.0
133,West 86th Apartment,None,None
134,Pod Times Square,Excellent,8.9
135,Studio Plus - Cozy Apartments,Review score,6.9
136,Sensational 3 Bedroom Apartment with direct park views,None,None
137,La Quinta Inn & Suites New York City Central Park,Good,7.6
138,Sutton Court Hotel Residences,None,None
139,3 BEDROOM 1 BATHROOM TIMES SQUARE D,Very Good,8.2
140,The Hotel at Times Square,Very Good,8.0
141,West 86th Apartment,None,None
142,Pod Times Square,Excellent,8.9
143,The Marlton Hotel,Excellent,8.8
144,Three Bedroom Apartment on 9th Avenue,Excellent,8.8
145,Tiffiny Two Bedrooms,Excellent,8.8
146,Apartment Soho Elizabeth 2,None,None
147,The William,Awesome,9.0
148,Studio Plus - Couple's Studio,Good,7.0
149,Spectacular Duplex 4 Bedroom 3 Bath Lincoln Center,None,None
150,Hyatt Union Square New York,Excellent,8.7
151,Cosy 1 Bed Apartment Midtown West near Hell's Kitchen & Macy's,None,None
152,Peck Slip Apartment,Exceptional,9.5
153,The Riverside - One Bedroom Apartment,None,None
154,Four Points by Sheraton Midtown - Times Square,Very Good,8.3
155,The Hotel @ New York City,Good,7.5
156,Bloc Away From Central Park Three-Bedroom Apartment with Private Balcony,Review score,6.5
157,Ultra design and luxurious Apartment - Doorman and Gym,None,None
158,Candlewood Suites NYC -Times Square,Very Good,8.1
159,The Whitby Hotel,Exceptional,9.5
160,AC New York Downtown by Marriott,None,None
161,Historic Harlem Duplex,Very Good,8.5
162,The Elizabeth,None,None
163,"TIMES SQUARE, MIDTOWN, HELLS KITCHEN. AMAZING 2BD!",None,None
164,Luxury 2200ft² 4Bed in East Village,None,None
165,Bloc Away From Central Park Three-Bedroom Apartment with Private Balcony,Review score,6.5
166,Ultra design and luxurious Apartment - Doorman and Gym,None,None
167,Candlewood Suites NYC -Times Square,Very Good,8.1
168,The Whitby Hotel,Exceptional,9.5
169,AC New York Downtown by Marriott,None,None
170,Historic Harlem Duplex,Very Good,8.5
171,The Elizabeth,None,None
172,"TIMES SQUARE, MIDTOWN, HELLS KITCHEN. AMAZING 2BD!",None,None
173,Luxury 2200ft² 4Bed in East Village,None,None
174,MOXY NYC Times Square,Very Good,8.5
175,Very Central West Village Apartment,None,None
176,The Ideal 3 Bedroom Getaway by Central Park UWS,Review score,6.8
177,Comfortable One Bedroom Apartment - Times Square,Good,7.3
178,Premium Apartments-Time Square,Excellent,8.6
179,Live like a New Yorker - 2 Bedroom Apartment near Times Square,None,None
180,East 7th Street III,None,None
181,Hotel Marrakech,Review score,6.8
182,TIMES SQ LUXURY 3BR DPLX,None,None
183,Sohotel,Very Good,8.2
184,NOVO360,None,None
185,Holiday Inn Express - Times Square South,Very Good,8.3
186,Best Times Square Location Hells Kitchen Midtown West,None,None
187,Bridgestreet at Centria,None,None
188,Sunny 3BR Apt in Chelsea,None,None
189,The Santana,None,None
190,Manhattan Studio Apartments,Good,7.3
191,Sunny Three Bedroom Apartment Lower East Side,Good,7.3
192,St Marks Hotel,Good,7.0
193,Places4stay Times Square Luxury II,None,None
194,Riverside Tower Hotel,Good,7.2
195,"NYC Charmer, Central Park/Lincoln Center",None,None
196,Radisson Martinique on Broadway,Very Good,8.2
197,One Bedroom Apartment - Upper East Side,None,None
198,Artsy 1Bed/1Bath in Prime Lower East Manhattan,None,None
199,Jenny's Apartments - Upper East Side,Awesome,9.0
200,2 Bedrooms Suite in Financial Disctrict,Very Good,8.3
201,NOVO205,None,None
202,Times Square West Midtown Apartment,Good,7.1
203,Courtyard by Marriott New York Manhattan/Central Park,Very Good,8.0
204,Heart of Hell's Kitchen 4 bedroom apartment,None,None
205,Midtown Times Square Apartment,Very Good,8.0
206,East Village Lovely Apartment,None,None
207,The New York EDITION,Awesome,9.0
208,Residence Inn by Marriott New York Manhattan/Times Square,Very Good,8.2
209,West Village 3 bedrooms with 4 baths,None,None
210,Midtown Times Square Apartment,Very Good,8.0
211,East Village Lovely Apartment,None,None
212,Residence Inn by Marriott New York Manhattan/Times Square,Very Good,8.2
213,West Village 3 bedrooms with 4 baths,None,None
214,Studio Plus - One-Bedroom APT,Good,7.2
215,Two Bedroom Apartment - Between Park Ave & Lexington Avenue - Midtown East,Review score,6.6
216,NOVO417,None,None
217,CITY ROOMS NYC - Soho,Very Good,8.2
218,The Alicia,None,None
219,Times Square Perfect Home,Awesome,9.2
220,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,Excellent,8.8
221,Charming Studio by Grand Central,None,None
222,Greenwich Street V,None,None
223,Lincoln Center Luxury Apartments,Good,7.5
224,Leo House,Very Good,8.2
225,HGU New York,Excellent,8.7
226,Soul Food (Mont Morris),Excellent,8.9
227,Exclusive Studio,Good,7.2
228,Apartment near Times Square,Very Good,8.5
229,Oakwood 6th Avenue,None,None
230,Full Floor Apt in the Heart of the East Village,None,None
231,Lower East Side 3 Bedroom,Very Good,8.1
232,Lovely Apartment in Midtown West,None,None
233,HighLine Studio,Excellent,8.7
234,Arris Apartment,Exceptional,9.6
235,The GEM Hotel - Chelsea,Good,7.7
236,PermaGO City Hall,Excellent,8.8
237,Today House Suites,Excellent,8.7
238,Ace Hotel New York,Very Good,8.4
239,West 45th Street Apt 209,None,None
240,Exclusive Studio,Good,7.2
241,Apartment near Times Square,Very Good,8.5
242,Oakwood 6th Avenue,None,None
243,Full Floor Apt in the Heart of the East Village,None,None
244,Lower East Side 3 Bedroom,Very Good,8.1
245,Lovely Apartment in Midtown West,None,None
246,HighLine Studio,Excellent,8.7
247,Arris Apartment,Exceptional,9.6
248,The GEM Hotel - Chelsea,Good,7.7
249,PermaGO City Hall,Excellent,8.8
250,Today House Suites,Excellent,8.7
251,Ace Hotel New York,Very Good,8.4
252,West 45th Street Apt 209,None,None
253,East 83rd Street Apt 2C,None,None
254,East 51st Street Apt 2L,None,None
255,East 28th Street Apt 12,None,None
256,East 28th Street Apt 17,None,None
257,West 46th Street Apt 4C,None,None
258,West 47th Street Apt 3C,None,None
259,Thompson Street Apt 4D,None,None
260,West 45th Street Apt 3R,None,None
261,West 49th Street Apt 3A,None,None
262,Madison Ave. & 92nd Street Apt 2A,None,None
263,West 47TH Street Apt 3B,None,None
264,East 51st Street Apt 2F,None,None
265,East 37th Street Apt 3R,None,None
266,East 37th Street Apt 3F,None,None
267,East 7th Street Apt 1A,None,None
268,East 15th Street Apt 4F,None,None
269,East 15th Street Apt 3R,None,None
270,East 7th Street Apt 1A,None,None
271,East 15th Street Apt 4F,None,None
272,East 15th Street Apt 3R,None,None
273,West 18th Street Apt 2R,None,None
274,Sullivan Street Apt 5R,None,None
275,Sullivan Street Apt 3R,None,None
276,West 15th Street Apt 3RR,None,None
277,West 15th Street Apt 3F,None,None
278,West 15th Street Apt 2F,None,None
279,East 37th Street & Lexington Ave. Apt 3F,None,None
280,Delancey Street Apt 14,None,None
281,Elizabeth Street & Kenmare St. Apt 3,None,None
282,East 14th St. Apt 1B,None,None
283,Mulberry & Grand Street Apt 1,None,None
284,Elizabeth Street & Kenmare Street Apt 1,None,None
285,Studio,None,None
286,Crosby Street Hotel,Awesome,9.4
287,Studio in Times Square,Review score,6.1
288,668 6th Ave 3rd floor,Review score,6.6
289,Luxury Apartments Upper East Side,None,None
290,Mott Street Apt 1A,None,None
291,East 28th Street Apt 22,None,None
292,East 28th Street Apt 23,None,None
293,West 89th Street Apt 2F,None,None
294,West 47th Street Apt 3A,None,None
295,West 49th Street Apt 5A,None,None
296,East 51st Street Apt 2R,None,None
297,East 51st Street Apt 1F,None,None
298,West 15th Street 4B,None,None
299,East 37th Street Apt 1R,None,None
300,Sullivan Street & West 3rd Apt 3F,None,None
301,Sullivan Street Apt 1R,None,None
302,East 37th Street & Lexington Ave. Apt 2R,None,None
303,East 37th Street & Lexington Ave. Apt 1R,None,None
304,Mulberry Street Apt 7 - Mulberry,None,None
305,Mulberry Street Apt 2,None,None
306,Delancey St. Apt 16,None,None
307,Delancey St. Apt 4,None,None
308,Lexington Ave Apt 3D,None,None
309,Mulberry Street Apt 16,None,None
310,Lexington Ave. Apt 6D,None,None
311,Grant Street Apt 2F,None,None
312,Elizabeth Street Apt 9,None,None
313,Spring Street Apt 1F,None,None
314,Elizabeth & Spring St. Apt. 1,None,None
315,Delancey St. Apt 4,None,None
316,Lexington Ave Apt 3D,None,None
317,Mulberry Street Apt 16,None,None
318,Lexington Ave. Apt 6D,None,None
319,Grant Street Apt 2F,None,None
320,Elizabeth Street Apt 9,None,None
321,Spring Street Apt 1F,None,None
322,Elizabeth & Spring St. Apt. 1,None,None
323,Lafayette Street Apt 7,None,None
324,2nd Avenue Apt 4,None,None
325,Delancey Street Apt 201,None,None
326,Heart of Lower Manhattan,None,None
327,Walker Hotel Greenwich Village,Very Good,8.5
328,Two Bedroom Apartment - East 34th Street,Very Good,8.0
329,Furnished room,None,None
330,Furnished room,None,None
331,AKA Wall Street,Awesome,9.2
332,PermaGO Seaport Studio,Very Good,8.3
333,West 51st Street Apt 1A,None,None
334,Thompson Street Apt 3C,None,None
335,Lexington Ave Apartment 3,None,None
336,East 61st Street Apt 3,None,None
337,East 82nd Street Apt 4D,None,None
338,Mulberry Street Apt 7,None,None
339,East 89th Street Apt 4B,None,None
340,East 51st Street Apt 4D,None,None
341,East 52nd Street Apt 1E,None,None
342,West 49th Street Apt 2A,None,None
343,East 52nd Street Apt 4F,None,None
344,East 37th Street Apt 4R,None,None
345,Mulberry Street Apt 9,None,None
346,Delancey Street Apt 18,None,None
347,Spring Street Apt 6,None,None
348,Grant Street Apt 2G,None,None
349,Elizabeth Street & East Houston Street Apt 12,None,None
350,Lafayette Street Apt 2,None,None
351,Elizabeth & Spring St. Apt. 3,None,None
352,Elizabeth & Spring St. Apt. 2,None,None
353,Elizabeth Street & Kenmare Street Apt 3,None,None
354,1st Ave Apt 2,None,None
355,Lafayette Street Apt 1,None,None
356,1st Ave Apt 11,None,None
357,Bowery & Broome Street Apt 4F,None,None
358,The Baxter House (sleeps 6),Review score,6.4
359,Large 1 Bedroom Chinatown,Exceptional,9.5
360,1st Ave Apt 11,None,None
361,Bowery & Broome Street Apt 4F,None,None
362,The Baxter House (sleeps 6),Review score,6.4
363,Large 1 Bedroom Chinatown,Exceptional,9.5
364,Midtown West,None,None
365,The Gallery House,Excellent,8.6
366,Lexington Ave Apartment 4A,None,None
367,West 49th Street Apt 4A,None,None
368,Sullivan Street Apt 1C,None,None
369,West 15th Street 4A,None,None
370,East 7th Street Apt 1M,None,None
371,Sullivan Street Apt 2F,None,None
372,East 37th Street Apt 5R,None,None
373,East 37th Street Apt 5F,None,None
374,East 37th Street & Lexington Ave. Apt 4F,None,None
375,East 37th Street Apt 5R,None,None
376,East 37th Street Apt 5F,None,None
377,East 37th Street & Lexington Ave. Apt 4F,None,None
378,Delancey St. Apt 20,None,None
379,Lexington Ave Apt 4C,None,None
380,West 106th St. Apt 4B,None,None
381,Elizabeth Street Apt 3,None,None
382,Mulberry Street Apt 11,None,None
383,Prince Street Apt 12,None,None
384,Ludlow St. Apt 3A,None,None
385,Lafayette Street Apt 6,None,None
386,Kenmare Street Apt. 9,None,None
387,Elizabeth Street & Kenmare Street Apt 2,None,None
388,1st Ave Apt 9,None,None
389,Broom St. Apt 5W,None,None
390,Broom St. Apt 5W,None,None
391,East 28th Street Apt 5,None,None
392,Bowery Apt 2F,None,None
393,Wingate by Wyndham Manhattan Midtown,Good,7.6
394,Apartment with stunning views near 5th Ave,None,None
395,East 51st Street Apt 4G,None,None
396,First Ave & 92nd Street Apt 3,None,None
397,West 47th Street Apt 2B,None,None
398,West 47th Street Apt 1C,None,None
399,East 7th Street Apt 1R,None,None
400,West 18th Street Apt 1F,None,None
401,Sullivan Street & West 3rd Apt 4F,None,None
402,West 12th Street Apt 3C,None,None
403,Elizabeth Street Apt 8,None,None
404,West 12th Street Apt 3A,None,None
405,Prince Street Apt 2,None,None
406,Prince Street Apt 11,None,None
407,1st Ave Apt 7,None,None
408,Spring St. Apt 2F,None,None
409,Chrystie Street Apt 5,None,None
410,"Brand New 2BR 1BA, W/D, Heart Of Lower East side, 4 min walk to SOHO, MODERN!",None,None
411,Bryant Park Studio Apartment Times Square South,Good,7.9
412,Uptown Studio,None,None
413,NY Away - Luxury Apartments in the Financial District,Review score,6.4
414,Two Bedroom Luxury Apartment - Union Square,Very Good,8.1
415,Modern Apartment - Greenwich Village With Shared Roofdeck & Terrace,Good,7.9
416,Mandarin Oriental New York,Excellent,8.6
417,Staybridge Suites - Times Square - New York City,Very Good,8.2
418,Downtown Grand Apartment,None,None
419,West 49th Street Apt 1B,None,None
420,Modern Apartment - Greenwich Village With Shared Roofdeck & Terrace,Good,7.9
421,Mandarin Oriental New York,Excellent,8.6
422,Staybridge Suites - Times Square - New York City,Very Good,8.2
423,Downtown Grand Apartment,None,None
424,West 49th Street Apt 1B,None,None
425,East 28th Street Apt 11,None,None
426,Sullivan Street Apt 1F,None,None
427,West 18th Street 3M,None,None
428,East 7th Street Apt 2F,None,None
429,Broadway Suite New York,Good,7.6
430,Hampton Inn Manhattan Grand Central,Excellent,8.7
431,East 85th Street Apt 2,None,None
432,East 61st Street Apt 2,None,None
433,West 18th Street Apt 2F,None,None
434,West 108th St. Apt 2W,None,None
435,East 51st Street Apt 3F,None,None
436,Broome St. Apt 3W,None,None
437,One-Bedroom on E 62nd Street Apt G,None,None
438,Harlem Grand,None,None
439,Aparthotel Manhattan Residence.5,None,None
440,East 85th Street Apt 1D,None,None
441,East 82nd Street Apt 5B,None,None
442,East 7th Street Apt 1C,None,None
443,West 15th Street 1F,None,None
444,Mulberry Street Apt 12,None,None
445,West 119th B&B,Awesome,9.2
446,HI NYC Hostel,Very Good,8.5
447,East 82nd Street Apt 5C,None,None
448,East 51st Street Apt 4H,None,None
449,Apartment #3E,None,None
450,East 85th Street Apt 1D,None,None
451,East 82nd Street Apt 5B,None,None
452,East 7th Street Apt 1C,None,None
453,West 15th Street 1F,None,None
454,Mulberry Street Apt 12,None,None
455,West 119th B&B,Awesome,9.2
456,HI NYC Hostel,Very Good,8.5
457,East 82nd Street Apt 5C,None,None
458,East 51st Street Apt 4H,None,None
459,Apartment #3E,None,None
460,Cozy Manhattan Apartment,None,None
461,Gracious Apartment in Midtown West,None,None
462,West 15th Street 4D,None,None
463,The Townhouse Inn of Chelsea,Excellent,8.8
464,Da Vinci Hotel,Good,7.6
465,Central Park Apartment,Good,7.4
466,Huge 2 Bed 2 Bath Apartment in Building with Elevator,None,None
467,UWS furnished One bedroom,None,None
468,East 52nd Street Apt 1B,None,None
469,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,Very Good,8.5
470,East 37th Street & Lexington Ave. Apt 4R,None,None
471,Chic and Beautiful Home center of the World NYC,None,None
472,The Greenwich Hotel,Awesome,9.4
473,Full Studio Near The Central Park,Very Good,8.2
474,World Center Hotel,Excellent,8.6
475,Avalon Hotel,Very Good,8.4
476,Global Luxury Suites in Murray Hill,None,None
477,InterContinental New York Times Square,Very Good,8.0
478,Four Bedroom Apartment - Eldridge St. #38,Review score,6.9
479,Fairfield Inn by Marriott New York Manhattan/Financial District,Very Good,8.3
480,Belnord Hotel,Good,7.9
481,Studio Plus - Apartment Suites,Good,7.1
482,Central Park Studios,Good,7.4
483,Greenwich Village 2 bed 1 bath,None,None
484,La Quinta Inn & Suites Manhattan,Very Good,8.0
485,Mulberry Street Apt 13,None,None
486,Anthem,None,None
487,DoubleTree by Hilton Metropolitan New York City,Good,7.8
488,Luxury Two Bedroom Apartment - Midtown West G,None,None
489,The Ideal 2 Bedroom Getaway by Central Park UWS,Review score,6.3
490,Hello Broadway,Review score,6.5
491,Three- Bedroom Apartment on 5th Ave,None,None
492,The Hendrix,None,None
493,Modern 2 Bedroom Apartment NYC,None,None
494,2 Bedroom Apartment Hell's Kitchen,Good,7.0
495,Luxury Apartment Time Square,None,None
496,Apartment in the Heart of Manhattan,None,None
497,"Near the Central Park, in New York",Very Good,8.1
498,East Village Convenient Apartment,None,None
499,28th Street & Park Avenue Apartments,None,None
500,"The Beekman, a Thompson Hotel",Awesome,9.3
501,Gansevoort Meatpacking,Very Good,8.3
502,Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,Excellent,8.6
503,East Village: Newly Renovated 2 Bedroom,Review score,6.7
504,Stylish 2 Bed in Soho,None,None
505,The Sherry Netherland,Awesome,9.4
506,st nicholas terrace,None,None
507,Perfect Retreat in Downtown,None,None
508,Exquisite 2 Bedroom 2 Baths all modern and High end Furniture,None,None
509,Studio Plus - Midtown Spacious Apartment,Good,7.6
510,Great Room Loft,None,None
511,Holiday Inn Express - Times Square,Good,7.7
512,Studio Apartments - West 31st Street,Review score,6.2
513,Leon Hotel,Very Good,8.4
